Burkina.Faso,Africa,3.3,2,45.1,47,70.5,90.8
Burundi,Africa,5.1,4,45.5,48.8,50.7,77.5
Gambia,Africa,6.1,4,45.4,48.7,47.2,75.1
Egypt,Africa,10.8,8.8,64.7,67.3,36.4,61.2
Nicaragua,America,8.9,9.4,65.8,70.6,35.4,33.4
Iraq,Asia,9.4,7.1,60.9,63.9,29.3,55
Malawi,Africa,11,9.9,40.3,41.1,28.1,58.2
El.Salvador,America,9.6,9.9,66.5,72.5,26.5,30.2
Algeria,Africa,11.1,9.9,67.5,70.3,26.1,51
Swaziland,Africa,11.5,10.8,57.7,62.3,22,24.4
Belize,America,10.6,10.4,73.4,76.1,21.252,23.472
Qatar,Asia,10.6,11.6,70,75.4,20.8,20.1
Botswana,Africa,10.5,10.7,48.9,51.7,19.5,40.1
Jamaica,America,10.8,11.1,72.4,76.8,19.2,10.9
South.Africa,Africa,13,13.2,62.3,68.3,18.1,18.3
Dominican.Republic,America,11.1,11.3,68.9,73.1,18,17.8
Kuwait,Asia,8.9,9.1,74.1,78.2,17.8,25.1
Bahrain,Asia,12.6,13.3,71.1,75.3,10.9,20.6
Indonesia,Asia,10.4,9.5,63.3,67,10.4,22
Turkey,Asia,10.6,8.7,66.5,71.7,8.3,27.6
Venezuela,America,10.2,10.7,70,75.7,8.2,9.7
Portugal,Europe,13.9,14.7,71.8,78.9,7.5,13
Paraguay,America,9.2,9.1,67.5,72,6.5,9.4
Peru,America,12.9,11.8,65.9,70.9,5.5,17
Philippines,Asia,11,11,66.6,70.2,5,5.7
Chile,America,11.8,11.7,72.3,78.3,4.6,5
Hong.Kong,Asia,12.6,12.7,76.1,81.8,4,11.8
Cuba,America,10.9,11.7,74.2,78,3.8,4.7
United.States,America,15.4,16.2,73.4,80.1,2.244,2.232
Samoa,Oceania,11.4,11.7,67.5,71.1,1.848,1.656
Spain,Europe,15.1,15.9,74.5,81.5,1.8,3.9
Bahamas,America,12.1,13.2,70.5,77.1,1.5,2
Trinidad.and.Tobago,America,10.1,11.3,71.5,76.2,1.2,3
Romania,Europe,11.5,11.4,66,73.2,1.1,3.1
Korea.Republic.of,Asia,15.1,13.9,68.8,76,0.7,3.3
Hungary,Europe,12.3,12.6,64.5,73.8,0.7,1
Georgia,Asia,10.1,10.4,68.5,76.7,0.3,0.6
Estonia,Europe,12.2,12.9,63.9,75,0.2,0.2
Latvia,Europe,11.1,11.7,62.5,74.3,0.2,0.3
